start_node,end_node,street_name,road_direction,distance_meters,speed_limit_kph,duration_seconds,road_class,road_type,is_blocked,is_dead_end
"(14.152451, 121.248398)","(14.152376, 121.248787)",unnamed road,twoway,43,30,5.16,tertiary,asphalt,0,0
"(14.152376, 121.248787)","(14.151974, 121.248735)",unnamed road,twoway,46,30,5.52,tertiary,asphalt,0,0
"(14.151974, 121.248735)","(14.151730, 121.248689)",unnamed road,twoway,27,30,3.24,tertiary,asphalt,0,0
"(14.151730, 121.248689)","(14.151664, 121.248682)",unnamed road,twoway,8,28,1.028571429,tertiary,gravel,0,0
"(14.150273, 121.253909)","(14.150776, 121.254194)",kamagong st,twoway,65,30,7.8,tertiary,uneven,0,0
"(14.150776, 121.254194)","(14.151353, 121.254372)",kamagong st,twoway,65,30,7.8,tertiary,asphalt,0,0
"(14.151353, 121.254372)","(14.153403, 121.255235)",kamagong st,twoway,250,30,30,tertiary,asphalt,0,0
"(14.153403, 121.255235)","(14.153102, 121.254698)",unnamed road,twoway,68,30,8.16,tertiary,asphalt,0,0
"(14.153102, 121.254698)","(14.153093, 121.254510)",unnamed road,twoway,25,30,3,tertiary,asphalt,0,0
"(14.153093, 121.254510)","(14.153107, 121.254377)",unnamed road,twoway,15,30,1.8,tertiary,asphalt,0,0
"(14.153107, 121.254377)","(14.152949, 121.254136)",unnamed road,twoway,32,30,3.84,tertiary,asphalt,0,0
"(14.152949, 121.254136)","(14.152970, 121.253950)",unnamed road,twoway,21,30,2.52,tertiary,asphalt,0,0
"(14.152970, 121.253950)","(14.153013, 121.253626)",unnamed road,twoway,36,30,4.32,tertiary,asphalt,0,0
"(14.153013, 121.253626)","(14.152697, 121.253308)",unnamed road,twoway,49,30,5.88,tertiary,asphalt,0,0
"(14.152697, 121.253308)","(14.152551, 121.253001)",unnamed road,twoway,39,30,4.68,tertiary,uneven,0,0
"(14.152551, 121.253001)","(14.152379, 121.252397)",unnamed road,twoway,67,30,8.04,tertiary,uneven,0,0
"(14.152379, 121.252397)","(14.152421, 121.251658)",unnamed road,twoway,80,30,9.6,tertiary,uneven,0,0
"(14.152421, 121.251658)","(14.152484, 121.251434)",unnamed road,twoway,30,30,3.6,tertiary,uneven,0,0
"(14.152484, 121.251434)","(14.152434, 121.251267)",unnamed road,twoway,19,30,2.28,tertiary,uneven,0,0
"(14.150776, 121.254194)","(14.151904, 121.252916)",molave st,twoway,180,30,21.6,tertiary,asphalt,0,0
"(14.151904, 121.252916)","(14.151516, 121.252529)",apitong st,twoway,62,30,7.44,tertiary,uneven,0,0
"(14.151904, 121.252916)","(14.152299, 121.253270)",apitong st,twoway,59,30,7.08,tertiary,uneven,0,0
"(14.152299, 121.253270)","(14.152551, 121.253001)",unnamed road,twoway,41,30,4.92,tertiary,uneven,0,0
"(14.152299, 121.253270)","(14.152061, 121.253569)",unnamed road,twoway,42,30,5.04,tertiary,uneven,0,0
"(14.152061, 121.253569)","(14.151727, 121.253943)",unnamed road,twoway,54,30,6.48,tertiary,uneven,0,0
"(14.151727, 121.253943)","(14.151353, 121.254372)",unnamed road,twoway,62,30,7.44,tertiary,uneven,0,0
"(14.151727, 121.253943)","(14.153093, 121.254510)",dapdap st,twoway,170,30,20.4,tertiary,asphalt,0,0
"(14.152061, 121.253569)","(14.152970, 121.253950)",unnamed road,twoway,110,30,13.2,tertiary,asphalt,0,0
"(14.153705, 121.250820)","(14.154971, 121.250561)",San Luis rd,twoway,140,30,16.8,tertiary,asphalt,0,0
"(14.155045, 121.250268)","(14.154971, 121.250561)",hill rd,twoway,33,30,3.96,tertiary,asphalt,0,0
"(14.154971, 121.250561)","(14.155530, 121.251058)",San Luis rd,twoway,83,30,9.96,tertiary,uneven,0,0
"(14.155530, 121.251058)","(14.155363, 121.251334)",San Luis rd,twoway,37,30,4.44,tertiary,uneven,0,0
"(14.155363, 121.251334)","(14.155621, 121.251545)",unnamed road,twoway,38,30,4.56,tertiary,uneven,0,0
"(14.155621, 121.251545)","(14.154601, 121.252548)",unnamed road,twoway,160,30,19.2,tertiary,uneven,0,0
"(14.154601, 121.252548)","(14.154459, 121.252155)",unnamed road,twoway,46,30,5.52,tertiary,uneven,0,0
"(14.154459, 121.252155)","(14.154358, 121.251819)",unnamed road,twoway,37,30,4.44,tertiary,uneven,0,0
"(14.154358, 121.251819)","(14.154170, 121.251105)",unnamed road,twoway,82,30,9.84,tertiary,uneven,0,0
"(14.154170, 121.251105)","(14.154476, 121.251020)",unnamed road,twoway,30,30,3.6,tertiary,uneven,0,0
"(14.154476, 121.251020)","(14.154881, 121.250945)",unnamed road,twoway,47,30,5.64,tertiary,uneven,0,0
"(14.154881, 121.250945)","(14.155092, 121.251119)",unnamed road,twoway,31,30,3.72,tertiary,uneven,0,0
"(14.155092, 121.251119)","(14.155363, 121.251334)",unnamed road,twoway,37,30,4.44,tertiary,uneven,0,0
"(14.155363, 121.251334)","(14.154601, 121.252069)",unnamed road,twoway,110,30,13.2,tertiary,uneven,0,0
"(14.154601, 121.252069)","(14.154459, 121.252155)",unnamed road,twoway,19,30,2.28,tertiary,uneven,0,0
"(14.154358, 121.251819)","(14.154642, 121.251540)",unnamed road,twoway,44,30,5.28,tertiary,uneven,0,0
"(14.154642, 121.251540)","(14.155092, 121.251119)",unnamed road,twoway,69,30,8.28,tertiary,uneven,0,0
"(14.154642, 121.251540)","(14.154476, 121.251020)",unnamed road,twoway,60,30,7.2,tertiary,uneven,0,0
"(14.154459, 121.252155)","(14.154142, 121.252257)",unnamed road,twoway,37,30,4.44,tertiary,uneven,0,0
"(14.154142, 121.252257)","(14.154316, 121.252902)",unnamed road,twoway,72,30,8.64,tertiary,uneven,0,0
"(14.154316, 121.252902)","(14.154133, 121.253012)",unnamed road,twoway,30,30,3.6,tertiary,uneven,0,0
"(14.154133, 121.253012)","(14.153749, 121.253146)",unnamed road,twoway,44,30,5.28,tertiary,uneven,0,0
"(14.153749, 121.253146)","(14.153784, 121.253576)",unnamed road,twoway,48,30,5.76,tertiary,uneven,0,1
"(14.153749, 121.253146)","(14.153419, 121.253218)",unnamed road,twoway,37,30,4.44,tertiary,uneven,0,0
"(14.153419, 121.253218)","(14.153351, 121.253092)",unnamed road,twoway,16,30,1.92,tertiary,uneven,0,0
"(14.153351, 121.253092)","(14.153147, 121.252904)",unnamed road,twoway,32,30,3.84,tertiary,uneven,0,0
"(14.153147, 121.252904)","(14.153043, 121.252609)",unnamed road,twoway,30,30,3.6,tertiary,uneven,0,0
"(14.153043, 121.252609)","(14.152944, 121.251909)",unnamed road,twoway,77,30,9.24,tertiary,uneven,0,0
"(14.152944, 121.251909)","(14.153016, 121.251681)",unnamed road,twoway,30,30,3.6,tertiary,uneven,0,0
"(14.153016, 121.251681)","(14.153617, 121.251448)",unnamed road,twoway,71,30,8.52,tertiary,uneven,0,0
"(14.153617, 121.251448)","(14.153837, 121.251381)",unnamed road,twoway,27,30,3.24,tertiary,uneven,0,0
"(14.153837, 121.251381)","(14.154142, 121.252257)",unnamed road,twoway,100,30,12,tertiary,uneven,0,0
"(14.154142, 121.252257)","(14.153908, 121.252333)",unnamed road,twoway,27,30,3.24,tertiary,uneven,0,0
"(14.153908, 121.252333)","(14.153043, 121.252609)",unnamed road,twoway,100,30,12,tertiary,uneven,0,0
"(14.153908, 121.252333)","(14.153986, 121.252559)",unnamed road,twoway,30,30,3.6,tertiary,uneven,0,0
"(14.153908, 121.252333)","(14.153695, 121.251686)",unnamed road,twoway,74,30,8.88,tertiary,uneven,0,0
"(14.153695, 121.251686)","(14.152944, 121.251909)",unnamed road,twoway,86,30,10.32,tertiary,uneven,0,0
"(14.153695, 121.251686)","(14.153617, 121.251448)",unnamed road,twoway,30,30,3.6,tertiary,uneven,0,0
"(14.153986, 121.252559)","(14.154133, 121.253012)",unnamed road,twoway,52,30,6.24,tertiary,uneven,0,0
"(14.153986, 121.252559)","(14.153256, 121.252790)",unnamed road,twoway,84,30,10.08,tertiary,uneven,0,0
"(14.153256, 121.252790)","(14.153147, 121.252904)",unnamed road,twoway,18,30,2.16,tertiary,uneven,0,0
"(14.155530, 121.251058)","(14.155883, 121.251260)",San Luis rd,twoway,44,30,5.28,tertiary,uneven,0,0
"(14.155883, 121.251260)","(14.156473, 121.251818)",San Luis rd,twoway,88,30,10.56,tertiary,uneven,0,0
"(14.156473, 121.251818)","(14.156813, 121.252167)",San Luis rd,twoway,54,30,6.48,tertiary,asphalt,0,0
"(14.156813, 121.252167)","(14.157269, 121.252705)",San Luis rd,twoway,77,30,9.24,tertiary,asphalt,0,0
"(14.157269, 121.252705)","(14.157595, 121.253076)",San Luis rd,twoway,54,30,6.48,tertiary,asphalt,0,0
"(14.157595, 121.253076)","(14.157251, 121.253518)",ginto,twoway,60,30,7.2,tertiary,asphalt,0,0
"(14.157251, 121.253518)","(14.156920, 121.253956)",ginto,twoway,61,30,7.32,tertiary,asphalt,0,0
"(14.156920, 121.253956)","(14.156586, 121.254412)",ginto,twoway,61,30,7.32,tertiary,asphalt,0,0
"(14.156586, 121.254412)","(14.156261, 121.254840)",ginto,twoway,60,30,7.2,tertiary,asphalt,0,0
"(14.156261, 121.254840)","(14.155971, 121.255229)",ginto,twoway,52,30,6.24,tertiary,asphalt,0,0
"(14.155971, 121.255229)","(14.155869, 121.255217)",pilak,twoway,12,30,1.44,tertiary,asphalt,0,0
"(14.155869, 121.255217)","(14.155400, 121.254694)",pilak,twoway,77,30,9.24,tertiary,asphalt,0,0
"(14.155400, 121.254694)","(14.154353, 121.253482)",pilak,twoway,180,30,21.6,tertiary,asphalt,0,0
"(14.154353, 121.253482)","(14.154675, 121.253138)",pilak,twoway,52,30,6.24,tertiary,gravel,0,0
"(14.154675, 121.253138)","(14.155071, 121.252758)",pilak,twoway,61,30,7.32,tertiary,gravel,0,0
"(14.155071, 121.252758)","(14.155463, 121.252360)",pilak,twoway,60,30,7.2,tertiary,gravel,0,0
"(14.155463, 121.252360)","(14.155846, 121.251987)",pilak,twoway,60,30,7.2,tertiary,gravel,0,0
"(14.155846, 121.251987)","(14.157251, 121.253518)",ginto,twoway,230,30,27.6,tertiary,uneven,0,0
"(14.154675, 121.253138)","(14.156261, 121.254840)",luntian rd,twoway,260,30,31.2,tertiary,uneven,0,0
"(14.155071, 121.252758)","(14.156586, 121.254412)",unnamed road,twoway,250,30,30,tertiary,uneven,0,0
"(14.155463, 121.252360)","(14.156920, 121.253956)",unnamed road,twoway,240,30,28.8,tertiary,uneven,0,0
"(14.157595, 121.253076)","(14.157792, 121.253290)",San Luis rd,twoway,32,30,3.84,tertiary,asphalt,0,0
"(14.157792, 121.253290)","(14.158657, 121.253789)",San Luis rd,twoway,110,30,13.2,tertiary,asphalt,0,0
"(14.158657, 121.253789)","(14.158321, 121.254203)",waling waling,twoway,59,30,7.08,tertiary,asphalt,0,0
"(14.158321, 121.254203)","(14.157556, 121.255254)",waling waling,twoway,140,30,16.8,tertiary,asphalt,0,0
"(14.157556, 121.255254)","(14.156801, 121.256279)",waling waling,twoway,140,30,16.8,tertiary,asphalt,0,0
"(14.156801, 121.256279)","(14.156475, 121.256020)",unnamed road,twoway,46,30,5.52,tertiary,asphalt,0,0
"(14.156475, 121.256020)","(14.156234, 121.256359)",bauhinia,twoway,45,30,5.4,tertiary,asphalt,0,1
"(14.156475, 121.256020)","(14.156188, 121.255749)",unnamed road,twoway,44,30,5.28,tertiary,asphalt,0,0
"(14.156188, 121.255749)","(14.157631, 121.253835)",unnamed road,twoway,260,30,31.2,tertiary,asphalt,0,0
"(14.157631, 121.253835)","(14.157958, 121.254009)",unnamed road,twoway,40,30,4.8,tertiary,asphalt,0,0
"(14.157958, 121.254009)","(14.158321, 121.254203)",unnamed road,twoway,46,30,5.52,tertiary,asphalt,0,0
"(14.157958, 121.254009)","(14.156475, 121.256020)",bauhinia,twoway,270,30,32.4,tertiary,asphalt,0,0
"(14.156801, 121.256279)","(14.157159, 121.256528)",unnamed road,twoway,48,30,5.76,tertiary,uneven,0,0
"(14.157159, 121.256528)","(14.157229, 121.256352)",unnamed road,twoway,22,30,2.64,tertiary,uneven,0,0
"(14.157229, 121.256352)","(14.157549, 121.255917)",unnamed road,twoway,59,30,7.08,tertiary,uneven,0,0
"(14.157549, 121.255917)","(14.157877, 121.255894)",unnamed road,twoway,30,30,3.6,tertiary,uneven,0,0
"(14.157696, 121.255386)","(14.157877, 121.255894)",jasmin,twoway,58,30,6.96,tertiary,uneven,0,0
"(14.157556, 121.255254)","(14.157696, 121.255386)",jasmin,twoway,22,30,2.64,tertiary,uneven,0,0
"(14.157877, 121.255894)","(14.158284, 121.256663)",jasmin,twoway,96,30,11.52,tertiary,uneven,0,0
"(14.158284, 121.256663)","(14.158306, 121.256886)",jasmin,twoway,24,30,2.88,tertiary,uneven,0,0
"(14.157159, 121.256528)","(14.157711, 121.256807)",unnamed road,twoway,69,30,8.28,tertiary,uneven,0,0
"(14.157711, 121.256807)","(14.158306, 121.256886)",unnamed road,twoway,66,30,7.92,tertiary,uneven,0,0
"(14.158306, 121.256886)","(14.158922, 121.257169)",unnamed road,twoway,76,30,9.12,tertiary,uneven,0,0
"(14.158922, 121.257169)","(14.159414, 121.257421)",unnamed road,twoway,60,30,7.2,tertiary,uneven,0,0
"(14.159414, 121.257421)","(14.159666, 121.257562)",sangguyam,twoway,33,30,3.96,tertiary,uneven,0,0
"(14.157877, 121.255894)","(14.158247, 121.255822)",unnamed road,twoway,42,30,5.04,tertiary,uneven,0,0
"(14.158247, 121.255822)","(14.158963, 121.256993)",unnamed road,twoway,150,30,18,tertiary,uneven,0,0
"(14.158963, 121.256993)","(14.158922, 121.257169)",unnamed road,twoway,25,30,3,tertiary,uneven,0,0
"(14.158247, 121.255822)","(14.158637, 121.255718)",vanilla,twoway,45,30,5.4,tertiary,uneven,0,0
"(14.158637, 121.255718)","(14.159169, 121.256539)",vanilla,twoway,110,30,13.2,tertiary,uneven,0,0
"(14.159169, 121.256539)","(14.159474, 121.257308)",vanilla,twoway,91,30,10.92,tertiary,uneven,0,0
"(14.159474, 121.257308)","(14.159414, 121.257421)",vanilla,twoway,15,30,1.8,tertiary,uneven,0,0
"(14.159666, 121.257562)","(14.160032, 121.257450)",sangguyam,twoway,42,30,5.04,tertiary,uneven,0,0
"(14.160032, 121.257450)","(14.160470, 121.257543)",sangguyam,twoway,49,30,5.88,tertiary,uneven,0,0
"(14.160470, 121.257543)","(14.161077, 121.257716)",sangguyam,twoway,71,30,8.52,tertiary,uneven,0,0
"(14.161077, 121.257716)","(14.160575, 121.256315)",epidendrium,twoway,160,30,19.2,tertiary,uneven,0,0
"(14.160575, 121.256315)","(14.160413, 121.255894)",epidendrium,twoway,49,30,5.88,tertiary,uneven,0,0
"(14.160413, 121.255894)","(14.160670, 121.255714)",magnolia st,twoway,30,30,3.6,tertiary,gravel,0,1
"(14.160413, 121.255894)","(14.159998, 121.256106)",magnolia st,twoway,51,30,6.12,tertiary,uneven,0,0
"(14.159998, 121.256106)","(14.159610, 121.256321)",magnolia st,twoway,50,30,6,tertiary,uneven,0,0
"(14.159610, 121.256321)","(14.159169, 121.256539)",magnolia st,twoway,55,30,6.6,tertiary,uneven,0,0
"(14.159610, 121.256321)","(14.160032, 121.257450)",unnamed road,twoway,130,30,15.6,tertiary,uneven,0,0
"(14.159998, 121.256106)","(14.160133, 121.256443)",mussaenda st,twoway,40,30,4.8,tertiary,uneven,0,0
"(14.160133, 121.256443)","(14.160480, 121.257374)",mussaenda st,twoway,110,30,13.2,tertiary,uneven,0,0
"(14.160480, 121.257374)","(14.160470, 121.257543)",mussaenda st,twoway,18,30,2.16,tertiary,uneven,0,0
"(14.160133, 121.256443)","(14.160575, 121.256315)",unnamed road,twoway,51,30,6.12,tertiary,uneven,0,0
"(14.158657, 121.253789)","(14.159243, 121.254129)",San Luis rd,twoway,76,30,9.12,tertiary,uneven,0,0
"(14.159243, 121.254129)","(14.158067, 121.255403)",maligaya drive,twoway,190,30,22.8,tertiary,uneven,0,1
"(14.159243, 121.254129)","(14.160180, 121.254657)",San Luis rd,twoway,120,30,14.4,tertiary,uneven,0,0
"(14.160180, 121.254657)","(14.159612, 121.254955)",catalina drive,twoway,69,30,8.28,tertiary,uneven,0,1
"(14.160180, 121.254657)","(14.160336, 121.254754)",San Luis rd,twoway,21,30,2.52,tertiary,uneven,0,0
"(14.160336, 121.254754)","(14.160672, 121.254960)",San Luis rd,twoway,43,30,5.16,tertiary,uneven,0,0
"(14.160672, 121.254960)","(14.160990, 121.255135)",San Luis rd,twoway,41,30,4.92,tertiary,uneven,0,0
"(14.160990, 121.255135)","(14.161050, 121.255406)",labadan drive,twoway,33,30,3.96,tertiary,uneven,0,0
"(14.161050, 121.255406)","(14.160771, 121.255545)",labadan drive,twoway,34,30,4.08,tertiary,uneven,0,1
"(14.160990, 121.255135)","(14.162046, 121.255765)",San Luis rd,twoway,140,30,16.8,tertiary,uneven,0,0
"(14.162046, 121.255765)","(14.162338, 121.255952)",San Luis rd,twoway,37,30,4.44,tertiary,uneven,0,0
"(14.162338, 121.255952)","(14.162575, 121.256142)",San Luis rd,twoway,36,30,4.32,tertiary,uneven,0,0
"(14.162575, 121.256142)","(14.161875, 121.256346)",unnamed road,twoway,81,28,10.41428571,tertiary,gravel,0,1
"(14.162575, 121.256142)","(14.162881, 121.256423)",San Luis rd,twoway,44,30,5.28,tertiary,uneven,0,0
"(14.162881, 121.256423)","(14.162814, 121.256688)",unnamed road,twoway,30,28,3.857142857,tertiary,gravel,0,0
